"YEAR","JURISDICTION","LOCATION","AGE_GROUP","METRIC","DETECTION_METHOD","FINES","ARRESTS","CHARGES","DETECTION_GROUP"
2024,"NSW","Major Cities of Australia","40-64","unlicensed_driving","Not applicable",102,0,391,"Unknown"
2024,"NSW","Major Cities of Australia","65 and over","unlicensed_driving","Not applicable",5,0,25,"Unknown"
2024,"NSW","Outer Regional Australia","0-16","unlicensed_driving","Not applicable",0,0,1,"Unknown"
2024,"NSW","Outer Regional Australia","17-25","unlicensed_driving","Not applicable",11,0,38,"Unknown"
2024,"NSW","Outer Regional Australia","26-39","unlicensed_driving","Not applicable",22,0,79,"Unknown"
2024,"NSW","Outer Regional Australia","40-64","unlicensed_driving","Not applicable",12,0,46,"Unknown"
2024,"NSW","Outer Regional Australia","65 and over","unlicensed_driving","Not applicable",3,0,9,"Unknown"
2024,"NSW","Remote Australia","17-25","unlicensed_driving","Not applicable",1,0,8,"Unknown"
2024,"NSW","Remote Australia","26-39","unlicensed_driving","Not applicable",2,0,13,"Unknown"
2024,"NSW","Remote Australia","40-64","unlicensed_driving","Not applicable",0,0,10,"Unknown"
2024,"NSW","Unknown","0-16","unlicensed_driving","Not applicable",1,0,5,"Unknown"
2024,"NSW","Unknown","17-25","unlicensed_driving","Not applicable",6,0,46,"Unknown"
2024,"NSW","Unknown","26-39","unlicensed_driving","Not applicable",18,0,62,"Unknown"
2024,"NSW","Unknown","40-64","unlicensed_driving","Not applicable",15,0,58,"Unknown"
2024,"NSW","Unknown","65 and over","unlicensed_driving","Not applicable",0,0,5,"Unknown"
2024,"NSW","Very Remote Australia","17-25","unlicensed_driving","Not applicable",1,0,3,"Unknown"
2024,"NSW","Very Remote Australia","40-64","unlicensed_driving","Not applicable",1,0,3,"Unknown"
2024,"NT","Unknown","0-16","unlicensed_driving","Not applicable",0,9,17,"Unknown"
2024,"NT","Unknown","17-25","unlicensed_driving","Not applicable",8,13,54,"Unknown"
2024,"NT","Unknown","26-39","unlicensed_driving","Not applicable",10,14,74,"Unknown"
2024,"NT","Unknown","40-64","unlicensed_driving","Not applicable",7,17,65,"Unknown"
2024,"NT","Unknown","65 and over","unlicensed_driving","Not applicable",1,0,1,"Unknown"
2024,"QLD","Unknown","0-16","unlicensed_driving","Not applicable",48,0,0,"Unknown"
2024,"QLD","Unknown","17-25","unlicensed_driving","Not applicable",636,0,0,"Unknown"
2024,"QLD","Unknown","26-39","unlicensed_driving","Not applicable",892,0,0,"Unknown"
2024,"QLD","Unknown","40-64","unlicensed_driving","Not applicable",602,0,0,"Unknown"
2024,"QLD","Unknown","65 and over","unlicensed_driving","Not applicable",37,0,0,"Unknown"
2024,"QLD","Unknown","Unknown","unlicensed_driving","Not applicable",1,0,0,"Unknown"
2024,"SA","Inner Regional Australia","65 and over","unlicensed_driving","Not applicable",2,0,0,"Unknown"
2024,"SA","Inner Regional Australia","Unknown","unlicensed_driving","Not applicable",65,0,0,"Unknown"
2024,"SA","Major Cities of Australia","65 and over","unlicensed_driving","Not applicable",13,0,0,"Unknown"
2024,"SA","Major Cities of Australia","Unknown","unlicensed_driving","Not applicable",409,0,0,"Unknown"
2024,"SA","Outer Regional Australia","65 and over","unlicensed_driving","Not applicable",3,0,0,"Unknown"
2024,"SA","Outer Regional Australia","Unknown","unlicensed_driving","Not applicable",91,0,0,"Unknown"
2024,"SA","Remote Australia","65 and over","unlicensed_driving","Not applicable",0,0,0,"Unknown"
2024,"SA","Remote Australia","Unknown","unlicensed_driving","Not applicable",17,0,0,"Unknown"
2024,"SA","Unknown","0-16","unlicensed_driving","Not applicable",0,9,7,"Unknown"
2024,"SA","Unknown","17-25","unlicensed_driving","Not applicable",0,26,72,"Unknown"
2024,"SA","Unknown","26-39","unlicensed_driving","Not applicable",0,48,169,"Unknown"
2024,"SA","Unknown","40-64","unlicensed_driving","Not applicable",0,39,177,"Unknown"
2024,"SA","Unknown","65 and over","unlicensed_driving","Not applicable",2,1,15,"Unknown"
2024,"SA","Unknown","Unknown","unlicensed_driving","Not applicable",14,0,0,"Unknown"
2024,"SA","Very Remote Australia","Unknown","unlicensed_driving","Not applicable",7,0,0,"Unknown"
