"YEAR","JURISDICTION","LOCATION","AGE_GROUP","METRIC","DETECTION_METHOD","FINES","ARRESTS","CHARGES","DETECTION_GROUP"
2024,"NSW","Inner Regional Australia","40-64","mobile_phone_use","Police issued",28,0,0,"Police"
2024,"NSW","Inner Regional Australia","65 and over","mobile_phone_use","Police issued",6,0,0,"Police"
2024,"NSW","Major Cities of Australia","17-25","mobile_phone_use","Police issued",337,0,8,"Police"
2024,"NSW","Major Cities of Australia","26-39","mobile_phone_use","Police issued",382,0,7,"Police"
2024,"NSW","Major Cities of Australia","40-64","mobile_phone_use","Police issued",254,0,3,"Police"
2024,"NSW","Major Cities of Australia","65 and over","mobile_phone_use","Police issued",26,0,0,"Police"
2024,"NSW","Outer Regional Australia","17-25","mobile_phone_use","Police issued",4,0,0,"Police"
2024,"NSW","Outer Regional Australia","26-39","mobile_phone_use","Police issued",5,0,0,"Police"
2024,"NSW","Outer Regional Australia","40-64","mobile_phone_use","Police issued",10,0,0,"Police"
2024,"NSW","Remote Australia","17-25","mobile_phone_use","Police issued",1,0,0,"Police"
2024,"NSW","Remote Australia","26-39","mobile_phone_use","Police issued",1,0,0,"Police"
2024,"NSW","Unknown","17-25","mobile_phone_use","Police issued",3,0,0,"Police"
2024,"NSW","Unknown","26-39","mobile_phone_use","Police issued",1,0,1,"Police"
2024,"NSW","Unknown","40-64","mobile_phone_use","Police issued",3,0,0,"Police"
2024,"NSW","Unknown","Unknown","mobile_phone_use","Fixed or mobile camera",14053,0,0,"Camera"
2024,"NSW","Very Remote Australia","26-39","mobile_phone_use","Police issued",1,0,0,"Police"
2024,"NT","Unknown","17-25","mobile_phone_use","Police issued",1,0,0,"Police"
2024,"NT","Unknown","26-39","mobile_phone_use","Police issued",9,0,0,"Police"
2024,"NT","Unknown","40-64","mobile_phone_use","Police issued",9,0,3,"Police"
2024,"NT","Unknown","65 and over","mobile_phone_use","Police issued",1,0,0,"Police"
2024,"QLD","Unknown","0-16","mobile_phone_use","Fixed camera",199,0,0,"Camera"
2024,"QLD","Unknown","17-25","mobile_phone_use","Fixed camera",919,0,0,"Camera"
2024,"QLD","Unknown","17-25","mobile_phone_use","Police issued",92,0,0,"Police"
2024,"QLD","Unknown","26-39","mobile_phone_use","Fixed camera",2781,0,0,"Camera"
2024,"QLD","Unknown","26-39","mobile_phone_use","Police issued",123,0,0,"Police"
2024,"QLD","Unknown","40-64","mobile_phone_use","Fixed camera",2784,0,0,"Camera"
2024,"QLD","Unknown","40-64","mobile_phone_use","Police issued",95,0,0,"Police"
2024,"QLD","Unknown","65 and over","mobile_phone_use","Fixed camera",332,0,0,"Camera"
2024,"QLD","Unknown","65 and over","mobile_phone_use","Police issued",8,0,0,"Police"
2024,"QLD","Unknown","Unknown","mobile_phone_use","Fixed camera",28,0,0,"Camera"
2024,"SA","Inner Regional Australia","17-25","mobile_phone_use","Police issued",1,0,0,"Police"
2024,"SA","Inner Regional Australia","26-39","mobile_phone_use","Police issued",4,0,0,"Police"
2024,"SA","Major Cities of Australia","17-25","mobile_phone_use","Police issued",44,0,0,"Police"
2024,"SA","Major Cities of Australia","26-39","mobile_phone_use","Police issued",79,0,0,"Police"
2024,"SA","Major Cities of Australia","40-64","mobile_phone_use","Police issued",52,0,0,"Police"
2024,"SA","Major Cities of Australia","65 and over","mobile_phone_use","Police issued",5,0,0,"Police"
2024,"SA","Outer Regional Australia","26-39","mobile_phone_use","Police issued",4,0,0,"Police"
2024,"SA","Outer Regional Australia","40-64","mobile_phone_use","Police issued",3,0,0,"Police"
2024,"SA","Remote Australia","40-64","mobile_phone_use","Police issued",1,0,0,"Police"
2024,"SA","Unknown","26-39","mobile_phone_use","Police issued",1,0,0,"Police"
2024,"SA","Unknown","40-64","mobile_phone_use","Police issued",2,0,0,"Police"
2024,"SA","Very Remote Australia","65 and over","mobile_phone_use","Police issued",1,0,0,"Police"
